symbol,last_date
KITE-USD,2026-01-06
ALCH-USD,2026-01-06
KAITO-USD,2026-01-06
AIOZ-USD,2026-01-06
WPLS-USD,2026-01-06
TURBO-USD,2026-01-06
CTC-USD,2026-01-06
QRL-USD,2026-01-06
KTA-USD,2026-01-06
KSM-USD,2026-01-06
GAS-USD,2026-01-06
DHN-USD,2026-01-06
GOMINING-USD,2026-01-06
BMX-USD,2026-01-06
FLZ-USD,2026-01-06
SHFL-USD,2026-01-06
YFI-USD,2026-01-06
AKT-USD,2026-01-06
CKB-USD,2026-01-06
RVN-USD,2026-01-06
CDCETH-USD,2026-01-06
T-USD,2026-01-06
LINEA-USD,2026-01-06
ZRX-USD,2026-01-06
PUFETH-USD,2026-01-06
BABYDOGE-USD,2026-01-06
AWE-USD,2026-01-06
RLB-USD,2026-01-06
MINA-USD,2026-01-06
NXPC-USD,2026-01-06
FRXUSD-USD,2026-01-06
RIVER-USD,2026-01-06
EDGESOL-USD,2026-01-06
YZY-USD,2026-01-06
EBTC-USD,2026-01-06
DGB-USD,2026-01-06
VCNT-USD,2026-01-06
MNEE-USD,2026-01-06
VELO-USD,2026-01-06
ZIL-USD,2026-01-06
MOG-USD,2026-01-06
XVG-USD,2026-01-06
KAVA-USD,2026-01-06
ASTR-USD,2026-01-06
BERA-USD,2026-01-06
ESPORTS-USD,2026-01-06
CTM-USD,2026-01-06
XNO-USD,2026-01-06
ORDI-USD,2026-01-06
HSK-USD,2026-01-06
ZIG-USD,2026-01-06
ZETA-USD,2026-01-06
HASUI-USD,2026-01-06
LRC-USD,2026-01-06
VTHO-USD,2026-01-06
SUSHI-USD,2026-01-06
ROSE-USD,2026-01-06
ACH-USD,2026-01-06
XPR-USD,2026-01-06
JELLYJELLY-USD,2026-01-06
SC-USD,2026-01-06
KUB-USD,2026-01-06
BLUR-USD,2026-01-06
CELO-USD,2026-01-06
ALEO-USD,2026-01-06
VVS-USD,2026-01-06
REQ-USD,2026-01-06
NMR-USD,2026-01-06
WAVES-USD,2026-01-06
UPC-USD,2026-01-06
QUBIC-USD,2026-01-06
OM-USD,2026-01-06
PNUT-USD,2026-01-06
EUL-USD,2026-01-06
PROVE-USD,2026-01-06
HUMA-USD,2026-01-06
CFG-USD,2026-01-06
SAHARA-USD,2026-01-06
EURCV-USD,2026-01-06
WCRO-USD,2026-01-06
IOTX-USD,2026-01-06
LISUSD-USD,2026-01-06
XCH-USD,2026-01-06
PCI-USD,2026-01-06
AVNT-USD,2026-01-06
XYO-USD,2026-01-06
CUSDO-USD,2026-01-06
ANKR-USD,2026-01-06
ORBR-USD,2026-01-06
QAI-USD,2026-01-06
WCFG-USD,2026-01-06
VUSDC-USD,2026-01-06
CSPR-USD,2026-01-06
XVS-USD,2026-01-06
VETH-USD,2026-01-06
SOLO-USD,2026-01-06
SNT-USD,2026-01-06
INI-USD,2026-01-06
ELF-USD,2026-01-06
VR-USD,2026-01-06
STIK-USD,2026-01-06
SKL-USD,2026-01-06
UMA-USD,2026-01-06
ICX-USD,2026-01-06
BDCA-USD,2026-01-06
ORCA-USD,2026-01-06
WMTX-USD,2026-01-06
LCX-USD,2026-01-06
PIEVERSE-USD,2026-01-06
NILA-USD,2026-01-06
IRYS-USD,2026-01-06
MBG-USD,2026-01-06
SWETH-USD,2026-01-06
ARRR-USD,2026-01-06
RLC-USD,2026-01-06
GEOD-USD,2026-01-06
ONT-USD,2026-01-06
COTI-USD,2026-01-06
PUNDIX-USD,2026-01-06
TORN-USD,2026-01-06
VBUSD-USD,2026-01-06
ARDR-USD,2026-01-06
LON-USD,2026-01-06
BAND-USD,2026-01-06
ENJ-USD,2026-01-06
BIM-USD,2026-01-06
TSLAX-USD,2026-01-06
RSWETH-USD,2026-01-06
STORJ-USD,2026-01-06
STUSDT-USD,2026-01-06
GOHOME-USD,2026-01-06
POLYX-USD,2026-01-06
NOT-USD,2026-01-06
PLUME-USD,2026-01-06
VSUI-USD,2026-01-06
TRB-USD,2026-01-06
ETHW-USD,2026-01-06
AEUR-USD,2026-01-06
BUSD-USD,2026-01-06
OG-USD,2026-01-06
ARK-USD,2026-01-06
SIREN-USD,2026-01-06
PEAQ-USD,2026-01-06
LBT-USD,2026-01-06
EURI-USD,2026-01-06
XAUM-USD,2026-01-06
ICNT-USD,2026-01-06
VNDC-USD,2026-01-06
USDP-USD,2026-01-06
NOW-USD,2026-01-06
HIVE-USD,2026-01-06
SSV-USD,2026-01-06
IOST-USD,2026-01-06
OSMO-USD,2026-01-06
SWFTC-USD,2026-01-06
WOO-USD,2026-01-06
BNT-USD,2026-01-06
DESO-USD,2026-01-06
BORA-USD,2026-01-06
SRX-USD,2026-01-06
KEEP-USD,2026-01-06
POWR-USD,2026-01-06
WONUS-USD,2026-01-06
KGEN-USD,2026-01-06
YGG-USD,2026-01-06
SHX-USD,2026-01-06
PYTHIA-USD,2026-01-06
MVL-USD,2026-01-06
PEOPLE-USD,2026-01-06
RPL-USD,2026-01-06
KNC-USD,2026-01-06
BICO-USD,2026-01-06
ARKM-USD,2026-01-06
VENOM-USD,2026-01-06
FLUX-USD,2026-01-06
GUSD-USD,2026-01-06
CVC-USD,2026-01-06
AUDIO-USD,2026-01-06
ORBS-USD,2026-01-06
CROSS-USD,2026-01-06
TNSR-USD,2026-01-06
BAL-USD,2026-01-06
LSK-USD,2026-01-06
BOME-USD,2026-01-06
CATI-USD,2026-01-06
SPELL-USD,2026-01-06
BIGTIME-USD,2026-01-06
USUAL-USD,2026-01-06
ILV-USD,2026-01-06
SENTIS-USD,2026-01-06
WET-USD,2026-01-06
SOMI-USD,2026-01-06
XAN-USD,2026-01-06
BOLD-USD,2026-01-06
FIDA-USD,2026-01-06
MPLX-USD,2026-01-06
CHR-USD,2026-01-06
SXP-USD,2026-01-06
SUSD-USD,2026-01-06
IQ-USD,2026-01-06
USDON-USD,2026-01-06
CARV-USD,2026-01-06
LISTA-USD,2026-01-06
SQD-USD,2026-01-06
PARTI-USD,2026-01-06
USTC-USD,2026-01-06
KLK-USD,2026-01-06
CBXRP-USD,2026-01-06
EURT-USD,2026-01-06
METIS-USD,2026-01-06
AIAT-USD,2026-01-06
OSAK-USD,2026-01-06
DOOD-USD,2026-01-06
LQTY-USD,2026-01-06
MLK-USD,2026-01-06
YB-USD,2026-01-06
SCRT-USD,2026-01-06
ERG-USD,2026-01-06
ELIZAOS-USD,2026-01-06
WAXP-USD,2026-01-06
PRO-USD,2026-01-06
TAIKO-USD,2026-01-06
AEVO-USD,2026-01-06
MANTA-USD,2026-01-06
SXT-USD,2026-01-06
ELG-USD,2026-01-06
LUSD-USD,2026-01-06
DPI-USD,2026-01-06
STEEM-USD,2026-01-06
DIA-USD,2026-01-06
WIN-USD,2026-01-06
CLANKER-USD,2026-01-06
NYM-USD,2026-01-06
SAPIEN-USD,2026-01-06
MOB-USD,2026-01-06
VELVET-USD,2026-01-06
WNXM-USD,2026-01-06
CBK-USD,2026-01-06
XYM-USD,2026-01-06
CHEX-USD,2026-01-06
LUCIC-USD,2026-01-06
AIXBT-USD,2026-01-06
CUSD-USD,2026-01-06
ORDER-USD,2026-01-06
TPT-USD,2026-01-06
AUCTION-USD,2026-01-06
POND-USD,2026-01-06
MTL-USD,2026-01-06
RIF-USD,2026-01-06
ZENT-USD,2026-01-06
IAG-USD,2026-01-06
DEP-USD,2026-01-06
GNS-USD,2026-01-06
AMPL-USD,2026-01-06
LUR-USD,2026-01-06
APTM-USD,2026-01-06
XPIN-USD,2026-01-06
DAG-USD,2026-01-06
PHA-USD,2026-01-06
CTSI-USD,2026-01-06
WTAO-USD,2026-01-06
WAPTM-USD,2026-01-06
GCB-USD,2026-01-06
RAIL-USD,2026-01-06
CET-USD,2026-01-06
DYM-USD,2026-01-06
TOKAMAK-USD,2026-01-06
WKC-USD,2026-01-06
QANX-USD,2026-01-06
SN-USD,2026-01-06
AERGO-USD,2026-01-06
DARKSTAR-USD,2026-01-06
CELR-USD,2026-01-06
DKA-USD,2026-01-06
ABT-USD,2026-01-06
SLP-USD,2026-01-06
SKYAI-USD,2026-01-06
BTRST-USD,2026-01-06
WHBAR-USD,2026-01-06
ELON-USD,2026-01-06
CPOOL-USD,2026-01-06
GLMR-USD,2026-01-06
QKC-USD,2026-01-06
GAIX-USD,2026-01-06
ZEREBRO-USD,2026-01-06
FIRO-USD,2026-01-06
UQC-USD,2026-01-06
POKT-USD,2026-01-06
CHEEL-USD,2026-01-06
STRX-USD,2026-01-06
DEVVE-USD,2026-01-06
WMATIC-USD,2026-01-06
ANKRETH-USD,2026-01-06
CGPT-USD,2026-01-06
VINE-USD,2026-01-06
MOVR-USD,2026-01-06
LMTS-USD,2026-01-06
ADS-USD,2026-01-06
SFI-USD,2026-01-06
RSV-USD,2026-01-06
UNP-USD,2026-01-06
WS-USD,2026-01-06
US-USD,2026-01-06
MED-USD,2026-01-06
VRA-USD,2026-01-06
WRBTC-USD,2026-01-06
USDCV-USD,2026-01-06
MY-USD,2026-01-06
STBL-USD,2026-01-06
JOE-USD,2026-01-06
EUSD-USD,2026-01-06
BSU-USD,2026-01-06
BCD-USD,2026-01-06
ELA-USD,2026-01-06
OXT-USD,2026-01-06
RESOLV-USD,2026-01-06
COREUM-USD,2026-01-06
WRSETH-USD,2026-01-06
REZ-USD,2026-01-06
FLOCK-USD,2026-01-06
SPYON-USD,2026-01-06
LGCT-USD,2026-01-06
MAPO-USD,2026-01-06
IXS-USD,2026-01-06
MEY-USD,2026-01-06
GODS-USD,2026-01-06
PEP-USD,2026-01-06
AIOT-USD,2026-01-06
ASUSDF-USD,2026-01-06
WRX-USD,2026-01-06
AGI-USD,2026-01-06
BLESS-USD,2026-01-06
ISIKC-USD,2026-01-06
JCT-USD,2026-01-06
WXT-USD,2026-01-06
RIO-USD,2026-01-06
GRND-USD,2026-01-06
CRCLX-USD,2026-01-06
ALLO-USD,2026-01-06
DENT-USD,2026-01-06
SLND-USD,2026-01-06
AGLD-USD,2026-01-06
MAV-USD,2026-01-06
FORTH-USD,2026-01-06
GUN-USD,2026-01-06
CETUS-USD,2026-01-06
INV-USD,2026-01-06
PROMPT-USD,2026-01-06
OHO-USD,2026-01-06
ETN-USD,2026-01-06
XRD-USD,2026-01-06
NEWT-USD,2026-01-06
WILD-USD,2026-01-06
SANTOS-USD,2026-01-06
MBL-USD,2026-01-06
PYR-USD,2026-01-06
DSYNC-USD,2026-01-06
CKBTC-USD,2026-01-06
SOLV-USD,2026-01-06
ALCX-USD,2026-01-06
SDEX-USD,2026-01-06
F-USD,2026-01-06
NVDAX-USD,2026-01-06
OGN-USD,2026-01-06
AITECH-USD,2026-01-06
MOBILE-USD,2026-01-06
BOBA-USD,2026-01-06
OLAS-USD,2026-01-06
ROAM-USD,2026-01-06
FUN-USD,2026-01-06
IVVON-USD,2026-01-06
ALICE-USD,2026-01-06
DUSK-USD,2026-01-06
AVA-USD,2026-01-06
SAUCE-USD,2026-01-06
RECALL-USD,2026-01-06
WCORE-USD,2026-01-06
AIO-USD,2026-01-06
ARPA-USD,2026-01-06
KERNEL-USD,2026-01-06
EWT-USD,2026-01-06
RBNT-USD,2026-01-06
RLS-USD,2026-01-06
QQQON-USD,2026-01-06
USDTE-USD,2026-01-06
MNGO-USD,2026-01-06
QQQX-USD,2026-01-06
VANRY-USD,2026-01-06
NCT-USD,2026-01-06
META-USD,2026-01-06
CGO-USD,2026-01-06
REDX-USD,2026-01-06
MMUI-USD,2026-01-06
EURAU-USD,2026-01-06
PEPEONTRON-USD,2026-01-06
EVER-USD,2026-01-06
SUPRA-USD,2026-01-06
PEPECOIN-USD,2026-01-06
TRADOOR-USD,2026-01-06
MYTH-USD,2026-01-06
DIAM-USD,2026-01-06
BGSC-USD,2026-01-06
YNG-USD,2026-01-06
HUNT-USD,2026-01-06
CHILLGUY-USD,2026-01-06
NAORIS-USD,2026-01-06
HIGH-USD,2026-01-06
PHB-USD,2026-01-06
LYN-USD,2026-01-06
TLTON-USD,2026-01-06
GRIFFAIN-USD,2026-01-06
GPS-USD,2026-01-06
EDENA-USD,2026-01-06
PAAL-USD,2026-01-06
WECAN-USD,2026-01-06
PONKE-USD,2026-01-06
ANYONE-USD,2026-01-06
LMWR-USD,2026-01-06
HEZ-USD,2026-01-06
TOWNS-USD,2026-01-06
HEGIC-USD,2026-01-06
IDIA-USD,2026-01-06
ZEX-USD,2026-01-06
DOLO-USD,2026-01-06
SHARP-USD,2026-01-06
MBOX-USD,2026-01-06
SD-USD,2026-01-06
ATA-USD,2026-01-06
NAVX-USD,2026-01-06
ZKJ-USD,2026-01-06
SPYX-USD,2026-01-06
WMNT-USD,2026-01-06
LQ-USD,2026-01-06
ROG-USD,2026-01-06
LUMIA-USD,2026-01-06
FELY-USD,2026-01-06
MUBARAK-USD,2026-01-06
LOCUS-USD,2026-01-06
METFI-USD,2026-01-06
MOC-USD,2026-01-06
SYS-USD,2026-01-06
HEART-USD,2026-01-06
INIT-USD,2026-01-06
LIBERTY-USD,2026-01-06
COQ-USD,2026-01-06
NVDAON-USD,2026-01-06
LAT-USD,2026-01-06
WALLET-USD,2026-01-06
ALPH-USD,2026-01-06
GOOGLX-USD,2026-01-06
MCDULL-USD,2026-01-06
ASD-USD,2026-01-06
TT-USD,2026-01-06
IEFAON-USD,2026-01-06
NXA-USD,2026-01-06
TKO-USD,2026-01-06
MNSRY-USD,2026-01-06
RAD-USD,2026-01-06
AQT-USD,2026-01-06
KLV-USD,2026-01-06
DNT-USD,2026-01-06
ADX-USD,2026-01-06
WQUIL-USD,2026-01-06
MLN-USD,2026-01-06
WBERA-USD,2026-01-06
AVAIL-USD,2026-01-06
PNK-USD,2026-01-06
ARARA-USD,2026-01-06
MSTRX-USD,2026-01-06
LYX-USD,2026-01-06
ASM-USD,2026-01-06
DODO-USD,2026-01-06
XBG-USD,2026-01-06
FHE-USD,2026-01-06
XMW-USD,2026-01-06
AGGON-USD,2026-01-06
AHT-USD,2026-01-06
PIVX-USD,2026-01-06
ISLM-USD,2026-01-06
GRS-USD,2026-01-06
TLM-USD,2026-01-06
OL-USD,2026-01-06
DEL-USD,2026-01-06
HEMI-USD,2026-01-06
WAN-USD,2026-01-06
ABBC-USD,2026-01-06
DEXT-USD,2026-01-06
EURR-USD,2026-01-06
ZERA-USD,2026-01-06
DOGINME-USD,2026-01-06
XPLA-USD,2026-01-06
RAMP-USD,2026-01-06
NMC-USD,2026-01-06
HMSTR-USD,2026-01-06
ENSO-USD,2026-01-06
NUB-USD,2026-01-06
CRCLON-USD,2026-01-06
GRP-USD,2026-01-06
MAMO-USD,2026-01-06
FARM-USD,2026-01-06
SPLD-USD,2026-01-06
BMT-USD,2026-01-06
WFRAX-USD,2026-01-06
XSGD-USD,2026-01-06
BFG-USD,2026-01-06
OAS-USD,2026-01-06
SERV-USD,2026-01-06
RDNT-USD,2026-01-06
HAEDAL-USD,2026-01-06
ACA-USD,2026-01-06
NATIX-USD,2026-01-06
MEA-USD,2026-01-06
AGRS-USD,2026-01-06
COLX-USD,2026-01-06
BETA-USD,2026-01-06
AOP-USD,2026-01-06
VIC-USD,2026-01-06
LAZIO-USD,2026-01-06
GAL-USD,2026-01-06
PORTO-USD,2026-01-06
DF-USD,2026-01-06
SLVON-USD,2026-01-06
UNS-USD,2026-01-06
MAVIA-USD,2026-01-06
XEM-USD,2026-01-06
IDEX-USD,2026-01-06
SWARMS-USD,2026-01-06
GYEN-USD,2026-01-06
DAO-USD,2026-01-06
OMG-USD,2026-01-06
MORI-USD,2026-01-06
FARTBOY-USD,2026-01-06
NETX-USD,2026-01-06
BAR-USD,2026-01-06
NOS-USD,2026-01-06
PUFFER-USD,2026-01-06
GOOGLON-USD,2026-01-06
AUKI-USD,2026-01-06
SIX-USD,2026-01-06
AAPLX-USD,2026-01-06
PSG-USD,2026-01-06
PPC-USD,2026-01-06
GALEON-USD,2026-01-06
BADGER-USD,2026-01-06
JUV-USD,2026-01-06
BRISE-USD,2026-01-06
TIPON-USD,2026-01-06
XION-USD,2026-01-06
COINX-USD,2026-01-06
EZSOL-USD,2026-01-06
READY-USD,2026-01-06
PURPE-USD,2026-01-06
MAUSDTLISTA-USD,2026-01-06
REP-USD,2026-01-06
NEURAL-USD,2026-01-06
NIBI-USD,2026-01-06
APX-USD,2026-01-06
TOKE-USD,2026-01-06
DMD-USD,2026-01-06
NOBODY-USD,2026-01-06
RACA-USD,2026-01-06
BEL-USD,2026-01-06
AL-USD,2026-01-06
KEYCAT-USD,2026-01-06
ASR-USD,2026-01-06
POLS-USD,2026-01-06
HOOK-USD,2026-01-06
SUNDOG-USD,2026-01-06
TAOBOT-USD,2026-01-06
GLEEC-USD,2026-01-06
ARIAIP-USD,2026-01-06
PNG-USD,2026-01-06
WSEI-USD,2026-01-06
ALPINE-USD,2026-01-06
INCO-USD,2026-01-06
SPA-USD,2026-01-06
ORAI-USD,2026-01-06
TLOS-USD,2026-01-06
WIBE-USD,2026-01-06
IDRT-USD,2026-01-06
PRCL-USD,2026-01-06
MNTX-USD,2026-01-06
LCC-USD,2026-01-06
ITOTON-USD,2026-01-06
EL-USD,2026-01-06
AMO-USD,2026-01-06
SWEAT-USD,2026-01-06
MDT-USD,2026-01-06
NKN-USD,2026-01-06
PSP-USD,2026-01-06
ALLBTC-USD,2026-01-06
EFAON-USD,2026-01-06
HOPR-USD,2026-01-06
DEGO-USD,2026-01-06
VOW-USD,2026-01-06
SPS-USD,2026-01-06
BOUNTY-USD,2026-01-06
UFD-USD,2026-01-06
IAUON-USD,2026-01-06
FTRB-USD,2026-01-06
UTK-USD,2026-01-06
SFUND-USD,2026-01-06
FOX-USD,2026-01-06
GHST-USD,2026-01-06
OUSD-USD,2026-01-06
FIO-USD,2026-01-06
KUJI-USD,2026-01-06
CESS-USD,2026-01-06
PIT-USD,2026-01-06
WOJAK-USD,2026-01-06
XNY-USD,2026-01-06
BOOE-USD,2026-01-06
KARRAT-USD,2026-01-06
MAJOR-USD,2026-01-06
GAIB-USD,2026-01-06
WIOTX-USD,2026-01-06
PKOIN-USD,2026-01-06
SURE-USD,2026-01-06
COMMON-USD,2026-01-06
QDX-USD,2026-01-06
MCB-USD,2026-01-06
ALU-USD,2026-01-06
COLS-USD,2026-01-06
NIM-USD,2026-01-06
IWFON-USD,2026-01-06
PUNDIAI-USD,2026-01-06
OGY-USD,2026-01-06
STNK-USD,2026-01-06
CULT-USD,2026-01-06
KRL-USD,2026-01-06
EQB-USD,2026-01-06
USDBC-USD,2026-01-06
QUICK-USD,2026-01-06
VLINK-USD,2026-01-06
ALEPH-USD,2026-01-06
NOICE-USD,2026-01-06
MWXT-USD,2026-01-06
HAIO-USD,2026-01-06
NEX-USD,2026-01-06
PROPC-USD,2026-01-06
BZZ-USD,2026-01-06
QUACK-USD,2026-01-06
GHX-USD,2026-01-06
MIGGLES-USD,2026-01-06
KONET-USD,2026-01-06
LOAN-USD,2026-01-06
BTG-USD,2026-01-06
IEMGON-USD,2026-01-06
SWELL-USD,2026-01-06
ATLAS-USD,2026-01-06
ETHDYDX-USD,2026-01-06
VULT-USD,2026-01-06
LADYS-USD,2026-01-06
OMIKAMI-USD,2026-01-06
DATA-USD,2026-01-06
BNBTIGER-USD,2026-01-06
GRIN-USD,2026-01-06
BLZ-USD,2026-01-06
AKE-USD,2026-01-06
NAKA-USD,2026-01-06
GOLDAO-USD,2026-01-06
MCADE-USD,2026-01-06
DMTR-USD,2026-01-06
TSLAON-USD,2026-01-06
UXLINK-USD,2026-01-06
MCM-USD,2026-01-06
TRWA-USD,2026-01-06
URANUS-USD,2026-01-06
GPU-USD,2026-01-06
SBBTC-USD,2026-01-06
HASHAI-USD,2026-01-06
TCOM-USD,2026-01-06
ARG-USD,2026-01-06
PZM-USD,2026-01-06
TMX-USD,2026-01-06
CTX-USD,2026-01-06
VDAI-USD,2026-01-06
YALA-USD,2026-01-06
COS-USD,2026-01-06
MSFTX-USD,2026-01-06
XWC-USD,2026-01-06
SUKU-USD,2026-01-06
UNA-USD,2026-01-06
ATM-USD,2026-01-06
WLUNC-USD,2026-01-06
DIMO-USD,2026-01-06
EPIC-USD,2026-01-06
DXI-USD,2026-01-06
GFAL-USD,2026-01-06
SPC-USD,2026-01-06
WHY-USD,2026-01-06
FUL-USD,2026-01-06
VLTC-USD,2026-01-06
NUM-USD,2026-01-06
CUDIS-USD,2026-01-06
XCP-USD,2026-01-06
CLV-USD,2026-01-06
STSOL-USD,2026-01-06
SQGROW-USD,2026-01-06
BLUAI-USD,2026-01-06
PTB-USD,2026-01-06
PATRIOT-USD,2026-01-06
RARI-USD,2026-01-06
WEXO-USD,2026-01-06
MONA-USD,2026-01-06
OVPP-USD,2026-01-06
IZI-USD,2026-01-06
SWTCH-USD,2026-01-06
PART-USD,2026-01-06
PHNIX-USD,2026-01-06
CHEQ-USD,2026-01-06
SPECTRE-USD,2026-01-06
SWCH-USD,2026-01-06
KAN-USD,2026-01-06
HOODX-USD,2026-01-06
KCT-USD,2026-01-06
CBADA-USD,2026-01-06
SHPING-USD,2026-01-06
BORGY-USD,2026-01-06
NRN-USD,2026-01-06
NXRA-USD,2026-01-06
REN-USD,2026-01-06
BFIC-USD,2026-01-06
ODOS-USD,2026-01-06
EPT-USD,2026-01-06
AURY-USD,2026-01-06
KIBSHI-USD,2026-01-06
PERP-USD,2026-01-06
KOMA-USD,2026-01-06
BNUSD-USD,2026-01-06
XTER-USD,2026-01-06
XSWAP-USD,2026-01-06
UBT-USD,2026-01-06
PDT-USD,2026-01-06
ALPHA-USD,2026-01-06
MYRO-USD,2026-01-06
JAGER-USD,2026-01-06
PUBLIC-USD,2026-01-06
CWEB-USD,2026-01-06
KMD-USD,2026-01-06
HDN-USD,2026-01-06
J-USD,2026-01-06
